Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
¡Viva el latín!,,Historias y belleza de una lengua inútil,,,Nicola Gardini,"Gardini, Nicola",,,,,,Editorial Crítica,,2017/11/07,2017,,,,Language Arts & Disciplines,"Nicola Gardini, profesor de la Universidad de Oxford, nos descubre la trascendencia de la lengua que fue la base de la civilización que construyó Europa y en la que ""están escritos los secretos de nuestra identidad"". El latín es, además, la puerta de acceso a los tesoros de una literatura en que la lengua es un elemento indispensable para captar unos valores que se pierden irremediablemente en una traducción. Gardini nos ofrece, por ello, una guía personal y vivida de la literatura latina, de Catulo a San Agustín, pasando por Cicerón, Tácito, Virgilio, Lucrecio o Séneca, en la que utiliza breves textos que, con la ayuda de su traducción y de sus comentarios, podemos disfrutar, sin necesidad de conocimientos gramaticales previos o de recurrir al diccionario. Un viaje de descubrimiento por una lengua que es todavía capaz de dar sentido a nuestra identidad con la fuerza que sólo las cosas inútiles pueden expresar maravillosamente.",,,,,,,,,,,240,,,,,,español,,,,,,9788417067533,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/07/31 22:24:28.471500873,,,"Kindle,Electrónico",,,,,s4U6DwAAQBAJ,,0,0,0,,,
¡Viva el socialismo!,,Crónicas 2016-2020,,,Thomas Piketty,"Piketty, Thomas",,,,,,Ediciones Deusto,,,2021,,,,,"«Si me hubieran dicho en 1990 que en 2020 iba a publicar una colección de crónicas titulada ¡Viva el socialismo! habría pensado que se trataba de un mal chiste. Pertenezco a una generación que no tuvo tiempo de dejarse seducir por el comunismo y que se hizo adulta constatando el fracaso absoluto del sovietismo», cuenta Thomas Piketty en el prefacio inédito de esta colección de sus columnas mensuales publicadas en Le Monde desde septiembre de 2016 hasta julio de 2020. En los años noventa fue más liberal que socialista, pero treinta años después cree que el hipercapitalismo ha ido demasiado lejos y que debemos pensar en la superación del capitalismo, en una nueva forma de socialismo, participativo y descentralizado, federal y democrático, ecológico y feminista. Estas columnas, completadas con gráficos, tablas y textos adicionales del autor, y que conforman una síntesis del pensamiento de uno de los economistas más importantes de nuestro tiempo, reflexionan sobre cómo el verdadero cambio, el «socialismo participativo», sólo se producirá cuando los ciudadanos recuperen las herramientas que les permitan organizar su propia vida colectiva. Además, suponen un exhaustivo repaso a todas las grandes cuestiones de índole económica, política y social de los últimos tiempos, desde el funcionamiento de la UE, el Brexit, el incremento de la desigualdad, la pujanza de China y los nuevos ejes de poder mundial o la más reciente crisis sanitaria y económica provocada por la pandemia del coronavirus.",,,,,,,,,,,288,,,,,,español,,,,,,9788423432424,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/09/19 08:39:41.693758964,,,,,,,,v4BszgEACAAJ,,0,0,0,,https://covers.openlibrary.org/b/id/10893647-L.jpg,
¿Cómo se sale de aquí?,,Una historia del parto,,,Randi Hutter Epstein,"Epstein, Randi Hutter",,,,,,Turner Publicaciones S.L.,,2010/11/01,2010,,,,,,,,,,,,,,,,274,,,,,,español,,,,,,9788475069340,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/02/10 13:33:36.856992959,,,,,Panamericana,10000 $,,aFn1ZwEACAAJ,,0,0,0,,http://images.amazon.com/images/P/8475069347.01Z.jpg,
¿El final de las estaciones?,,,,,"Juan Bordera,Antonio M. Turiel Martínez,Antonio Turiel,Fernando Valladares,Fernando Valladares Ros","Bordera, Juan",,,,,,Revista Contexto SL,,,2022,,,,Science,"La historia no está escrita todavía, pero es un momento crucial marcado por las amenazas de los totalitarismos neoliberales de ultraderecha, de la guerra y el genocidio. Repensar la vida en común en estos tiempos extraños es posible, pero para ello es preciso mirar dónde estamos y obligarnos a redefinir las cuestiones más antiguas de la justicia social y de la política.Este libro no hace una predicción agorera. Es un aviso rabioso y dolorido. Se tiñe del dolor y la rabia de quienes aman la vida y a la gente, de aquellos a quienes les importan todas las vidas y no se resignan a descartarlas. Del prólogo de Yayo Herrero.",,,,,,,,,,,188,,,,,,español,,,,,,9788412799613,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/09/28 13:51:55.564736843,,,,,Grammata,105000 $,,UWCN0AEACAAJ,,0,0,0,,http://images.amazon.com/images/P/8412799615.01Z.jpg,
¿Por qué a los patos no se les enfrían los pies?,,La física de lo cotidiano,,,Helen Czerski,"Czerski, Helen",,,,,,Grupo Planeta,,2017/04/04,2017,,,,Science,"Nuestro hogar, la Tierra, es caótico, mutable y está repleto de objetos mundanos que tocamos y modificamos todos los días sin apenas reparar en ello. Pero son precisamente esos escenarios cotidianos en los que debemos fijarnos si deseamos saber qué hace que el engranaje del universo funcione.En ¿Por qué a los patos no se les enfrían los pies?, Helen Czerski nos da las respuestas a algunas preguntas complejas del estilo de: ¿cómo viaja el agua desde las raíces de una secuoya hasta la copa? ¿Cómo consiguen los patos mantener los pies calientes cuando caminan sobre hielo? ¿Por qué la leche, al echarla al té, se asemeja tanto a un remolino de nubes de tormenta? Czerski, de una forma cercana y audaz, comparte sus asombrosos conocimientos para levantar el velo de la familiaridad de lo ordinario. Es probable que después de leer este libro no volvamos a mirar nada con los mismos ojos.",,,,,,,,,,,436,,,,,,español,,,,,,9788449333378,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2021/01/04 08:52:25.119029998,,,,,,,,8vhBDgAAQBAJ,,0,,0,,,
¿Por qué dependemos de la biodiversidad?,,La oportunidad que no debemos dejar pasar,,,Juan Armando Sánchez,"Sánchez, Juan Armando",,,,,,Universidad de los Andes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/12/28 16:08:13.883764028,,,,,Autor,0 $,,,,0,0,0,,,
¿Qué es la vida?,,,,,Erwin Schrödinger,"Schrödinger, Erwin",,,,,,Tusquets Editores,,,1984,,,,Education,"Que es la vida? se publico por primera vez en 1944, y es fruto de una serie de conferencias dictadas por el autor en el Institute for Advanced Studies del Trinity College de Dublin, en febrero de 1943. El revuelo que levanto en su momento entre cientificos y pensadores todavia no ha cesado, por lo que ya es considerado, unanimamente, un clasico en la materia.",,,,,,,,,,,144,Electrónico,,,,,español,,,,,,9788472236073,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2021/01/04 09:11:49.017066001,,,,,,,,0ZGNQwAACAAJ,,0,,0,,,
"¿Solo en casa? : la naturaleza del lugar donde vivimos, desde microbios hasta milpiés, grillos de las cuevas y abejas",,,,,Rob Dunn,"Dunn, Rob",,,,,,Alianza Editorial,,2020/11/01,2020,,,,,"Por muy apacible que parezca nuestro hogar, alberga un universo natural que trasciende todo lo imaginable. La vida abunda en el sótano, en el desván, bajo el entarimado del suelo y hasta en la alcachofa de la ducha: ""¿Solo en casa?"" revela la naturaleza absolutamente inesperada que albergan las viviendas humanas. En este libro Dunn nos presenta a los diminutos habitantes de nuestras casas para poner de manifiesto que en casi todos los casos nos benefician, y que intentar acabar con los organismos perniciosos solo sirve para empeorar nuestra vida y poner en peligro los ecosistemas que la cobijan. Pero también nos revela algo más: lo asombroso que es nuestro mundo, incluso esa parte de él que tenemos delante de las narices. Quien lea esta obra apasionante, reveladora y llena de humor nunca más volverá a ver su casa o la vida que hay en ella de la misma manera. -- Amazon.",,,,,,,,,,,472,,,,,,español,,,,,,9788413621258,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2023/03/29 17:02:00.642058849,,,,,Grammata,81000 $,,chUnzgEACAAJ,,0,0,0,,,
¿Tenemos suficiente inteligencia para entender la inteligencia de los animales?,,,,,Frans de Waal,"Waal, Frans de",,,,,,Grupo Planeta Spain,,2016/04/25,2016,,,,Science,"Este libro describe numerosos y sorprendentes trabajos de campo realizados por estudiosos del comportamiento animal a lo largo de medio mundo con ejemplos que incluyen desde avispas a ballenas, desde pulpos a chimpancés. El lector hallará en estas páginas conmovedoras historias de cooperación y empatía entre delfines, divertidísimos ejemplos sobre la memoria visual de algunas aves o asombrosos relatos sobre un incipiente sentido del bien y del mal en los primates superiores y su capacidad para anticiparse al futuro. Por fortuna, han quedado atrás los tiempos en que los animales eran considerados meras máquinas que sólo respondían mecánicamente a los estímulos del laboratorio, pero este libro, además, nos obliga a replantearnos nuestros viejas ideas acerca de la naturaleza y los mecanismos de la inteligencia, tanto humana como animal. Durante décadas fue un lugar común pensar que sólo el ser humano era consciente de sí mismo, podía representarse el pasado y el futuro o tenía la capacidad de crear y emplear herramientas. Sin embargo, hace tiempo que los etólogos, y en especial destacados primatólogos como Frans de Waal, están cuestionando estos prejuicios.",,,,,,,,,,,368,,,,,,español,,,,,,9788490662755,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2021/10/12 20:07:00.625108957,,,,,Buscalibre,17000 $,,Z1StCwAAQBAJ,,0,0,0,,,
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",,,,,Richard P. Feynman,"Feynman, Richard P.",,,,,,W. W. Norton & Company,,2018/02/06,2018,,,,Biography & Autobiography,"One of the most famous science books of our time, the phenomenal national bestseller that ""buzzes with energy, anecdote and life. It almost makes you want to become a physicist"" (Science Digest). Richard P. Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. In this lively work that “can shatter the stereotype of the stuffy scientist” (Detroit Free Press), Feynman recounts his experiences trading ideas on atomic physics with Einstein and cracking the uncrackable safes guarding the most deeply held nuclear secrets—and much more of an eyebrow-raising nature. In his stories, Feynman’s life shines through in all its eccentric glory—a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah. Included for this edition is a new introduction by Bill Gates.",,,,,,,,,,,400,Kindle,,,,,inglés,,,,,,9780393355680,,0,0.000000,,Unread,,,,,,,,,,0,,,,,2021/01/04 09:16:51.877014160,,,,,,,,_gA_DwAAQBAJ,,0,,0,,,
